,Title,Body,Id,Len_tags,New_len_tags,Tags,Title_bow_lem,Text_bow_lem,Length_bow_title,Length_bow_text,Text_Title
19960,Searching for file in directories recursively,"<p>I have the following code to recursively search for files through a directory, which returns a list of all xml files to me.  All works well, except that xml files in the root directory are not included in the list.</p>

<p>I understand why, since the first thing it does is get the directories in the root, then get files,  thus missing the GetFiles() call on the root.  I tried including the GetFiles() call prior to the foreach, but the results are not as I expect.  </p>

<pre><code>public static ArrayList DirSearch(string sDir)
{
    try
    {
        foreach (string d in Directory.GetDirectories(sDir))
        {
            foreach (string f in Directory.GetFiles(d, ""*.xml""))
            {
                string extension = Path.GetExtension(f);
                if (extension != null &amp;&amp; (extension.Equals("".xml"")))
                {
                fileList.Add(f);
                }
            }
            DirSearch(d);
        }
    }
    catch (Exception ex)
    {
        Console.WriteLine(ex.Message);
    }
    return fileList;
}
</code></pre>

<p>My directory structure is something like:</p>

<pre><code>RootDirectory
        test1.0.xml
            test1.1.xml
            test1.2.xml
  2ndLevDir
            test2.0.xml
            test2.1.xml
  3rdLevDir
               test3.0.xml
               test3.1.xml
</code></pre>

<p>Code returns:</p>

<pre><code>test2.0.xml
test2.1.xml
test3.0.xml
test3.1.xml
</code></pre>

<p>I would like to return every file including:</p>

<pre><code>test1.0.xml
test1.1.xml
test1.2.xml
</code></pre>

<p>Not very well verse with recursion.  Any pointers would be greatly appreciated.</p>
",9830069,2,1,['c#'],file directory,code file directory list xml file xml file root directory list thing directory root file getfile root getfile foreach result directory structure code return file verse recursion pointer,2,28,file directory code file directory list xml file xml file root directory list thing directory root file getfile root getfile foreach result directory structure code return file verse recursion pointer
8868,How to do an instanceof check with Scala(Test),"<p>I'm trying to incorporate ScalaTest into my Java project; replacing all JUnit tests with ScalaTests. At one point, I want to check if Guice's Injector injects the correct type. In Java, I have a test like this:</p>

<pre><code>public class InjectorBehaviour {
    @Test
    public void shouldInjectCorrectTypes() {
        Injector injector = Guice.createInjector(new ModuleImpl());
        House house = injector.getInstance(House.class);

        assertTrue(house.door() instanceof WoodenDoor);
        assertTrue(house.window() instanceof BambooWindow);
        assertTrue(house.roof() instanceof SlateRoof);
    }
}
</code></pre>

<p>But I have a problem doing the same with ScalaTest:</p>

<pre><code>class InjectorSpec extends Spec {
    describe(""An injector"") {
        it(""should inject the correct types"") {
            val injector = Guice.createInjector(new ModuleImpl)
            val house = injector.getInstance(classOf[House])

            assert(house.door instanceof WoodenDoor)
            assert(house.window instanceof BambooWindow)
            assert(house.roof instanceof SlateRoof)
        }
    }
}
</code></pre>

<p>It complains that the value <code>instanceof</code> is not a member of <code>Door</code>/<code>Window</code>/<code>Roof</code>. Can't I use <code>instanceof</code> that way in Scala? </p>
",8561898,4,1,['java'],check scala test,project junit test scalatest point guice injector type java test problem value member way scala,3,15,check scala test project junit test scalatest point guice injector type java test problem value member way scala
22081,Flutter module not found in Xcode,"<p>When I build the app in Xcode it throws the error: <code>.../ios/Runner/GeneratedPluginRegistrant.m:10:9: Module 'audioplayers' not found</code>
I tried reinstalling and setting up pods again, however it didn't work. I am also including <code>pod 'Firebase/Core'</code> in the pod file. Maybe I need to include the Audioplayer module there as well? 
Thanks in advance!</p>
",61956166,3,2,"['ios', 'xcode']",flutter module xcode,app xcode error pod work pod file audioplayer module thank advance,3,11,flutter module xcode app xcode error pod work pod file audioplayer module thank advance
16589,Android Studio: Newly Created Directory Not Appearing In Folders View,"<p>I am trying to create a new folder inside the /res directory</p>

<p>I added a new directory</p>

<p><img src=""https://i.stack.imgur.com/J84KG.png"" alt=""enter image description here""></p>

<p>The folder does not appear in the /res folder even though it exists in the finder</p>

<p><img src=""https://i.stack.imgur.com/u9D2G.png"" alt=""enter image description here""></p>

<p>Case and point I tried adding the folder again and I got a message telling me it exists.</p>

<p><img src=""https://i.stack.imgur.com/DG8RV.png"" alt=""enter image description here""></p>

<p>If you can suggest what I can do to fix this I'd love it!</p>

<p>(And yes I have restarted the program as well as my computer)</p>
",26811212,3,1,['android'],android studio directory folder,folder res directoryi new directorythe folder res folder findercase point folder message love program computer,4,15,android studio directory folder folder res directoryi new directorythe folder res folder findercase point folder message love program computer
1979,how to get the base url in javascript,"<p>I am building a website with <a href=""http://ellislab.com/codeigniter"">CodeIgniter</a>, I have various resources that I load with the <a href=""http://ellislab.com/codeigniter/user-guide/helpers/url_helper.html"">base_url</a> helper function like this </p>

<p><code>&lt;link rel=""stylesheet"" type=""text/css"" href=""'.base_url('assets/css/themes/default.css').'"" id=""style_color""/&gt;</code></p>

<p>which produces (i.e. www.mysite.com)</p>

<p><code>&lt;link rel=""stylesheet"" type=""text/css"" href=""http://www.mysite.com/assets/css/themes/default.css"" id=""style_color""/&gt;</code></p>

<p>I can then swap this resource with another in javascript like this</p>

<p><code>$('#style_color').attr(""href"", ""assets/css/themes/"" + color_ + "".css"");</code></p>

<p>what happens is that it will try to load the resource without using the absolute path generated by php, so my solution was adding a dummy tag in every page with php like this</p>

<p><code>&lt;div id=""base_url"" class=""'.base_url().'""&gt;&lt;/div&gt;</code></p>

<p>I then modified the javascript line to</p>

<p><code>$('#style_color').attr(""href"", $('#base_url').attr(""class"") + ""assets/css/themes/"" + color_ + "".css"");</code></p>

<p>it does work but it doesn't look elegant at all, so, I would appreciate any help on how to maybe generate this base url from within javascript or any other solution, thanks :)</p>

<hr>

<p>I preferred a Javascript only solution and since I am using <a href=""http://ellislab.com/codeigniter"">CodeIgniter</a>, a <code>document.base_url</code> variable with the segments of the url from the <code>protocol</code> to the <code>index.php</code> seemed handy</p>

<p><code>document.base_url = base_url('index.php');</code></p>

<p>with the function <code>base_url()</code> being</p>

<pre><code>function base_url(segment){
   // get the segments
   pathArray = window.location.pathname.split( '/' );
   // find where the segment is located
   indexOfSegment = pathArray.indexOf(segment);
   // make base_url be the origin plus the path to the segment
   return window.location.origin + pathArray.slice(0,indexOfSegment).join('/') + '/';
}
</code></pre>
",21246818,5,4,"['javascript', 'php', 'html', 'css']",base url javascript,website resource helper function www mysite com resource javascript resource path php solution tag page php thisi line toit help base url javascript solution thank javascript solution variable segment url handywith function,3,32,base url javascript website resource helper function www mysite com resource javascript resource path php solution tag page php thisi line toit help base url javascript solution thank javascript solution variable segment url handywith function
32253,Error: Failed to launch the browser process puppeteer,"<p>checked failed 
crashForExceptionInNonABIComplianceCodeRange
the code below its functon is to create PDF file </p>

<pre><code>   (async function() {

      try {

      const browser = await puppeteer.launch();
      const page = await browser.newPage();

      await page.setContent(pdfOutput);
      await page.emulateMedia(""screen"");
      await page.pdf({
        path: ""routes/planiton/pdf/mypdf.pdf"",
        format: ""A4"",
        printBackground: true
      });

      console.log('done');
      await browser.close();
      //process.exit();

    } catch (e) {
      console.log(""Our Error"", e)
    }
  })();
</code></pre>
",59979188,2,1,['node.js'],error launch browser process puppeteer,code functon pdf file,5,4,error launch browser process puppeteer code functon pdf file
20073,The modulo operator (%) gives a different result for different .NET versions in C#,"<p>I am encrypting the user's input for generating a string for password. But a line of code gives different results in different versions of the framework. Partial code with value of key pressed by user:</p>

<p>Key pressed: 1. Variable <code>ascii</code> is 49. Value of 'e' and 'n' after some calculation:</p>

<pre><code>e = 103, 
n = 143,

Math.Pow(ascii, e) % n
</code></pre>

<p>Result of above code:</p>

<ul>
<li><p>In .NET 3.5 (C#)</p>

<pre><code>Math.Pow(ascii, e) % n
</code></pre>

<p>gives <code>9.0</code>.</p></li>
<li><p>In .NET 4 (C#)</p>

<pre><code>Math.Pow(ascii, e) % n
</code></pre>

<p>gives <code>77.0</code>.</p></li>
</ul>

<p><code>Math.Pow()</code> gives the correct (same) result in both versions.</p>

<p>What is the cause, and is there a solution?</p>
",21481764,3,2,"['c#', '.net']",modulo operator result version,user input string password line code result version framework code value key user variable value calculation result code give give result version cause solution,4,24,modulo operator result version user input string password line code result version framework code value key user variable value calculation result code give give result version cause solution
11714,Process to convert simple Python script into Windows executable,"<p>I wrote a script that will help a Windows user in her daily life. I want to simply send her the .exe and not ask her to install python, dlls or have to deal with any additional files.</p>

<p>I've read plenty of the stackoverflow entries regarding compiling Python scripts into executable files. I am a bit confused as there are many options but some seem dated (no updates since 2008) and none were simple enough for me not to be asking this right now after a few hours spent on this. </p>

<p>I'm hoping there's a better, up-to-date way to do this.</p>

<p>I looked into:</p>

<ul>
<li><a href=""http://code.google.com/p/pylunch/"" rel=""noreferrer"">pylunch</a></li>
<li><a href=""http://www.py2exe.org/"" rel=""noreferrer"">py2exe</a></li>
<li><a href=""http://cx-freeze.sourceforge.net/"" rel=""noreferrer"">cx_Freeze</a></li>
<li><a href=""http://svn.pythonmac.org/py2app/py2app/trunk/doc/index.html"" rel=""noreferrer"">py2app</a> (only for Mac)</li>
<li><a href=""http://www.pyinstaller.org/"" rel=""noreferrer"">pyinstaller</a></li>
<li><a href=""http://pypi.python.org/pypi/bbfreeze/"" rel=""noreferrer"">bbfreeze</a></li>
</ul>

<p>but either I couldn't get them to work or couldn't understand how to get the result I need. The closest I got was with py2exe but it still gave me the MSVCR71.dll</p>

<p>I would appreciate a step-by-step answer as I was also unable to follow some of the tweaking answers here that require some prior understanding of how to use py2exe or some of the other tools.</p>

<p>I'm using Python 2.5 as one of the modules is only available for that version.</p>
",2136837,5,1,['python'],process python script window,script user life exe python dll file plenty entry script file bit option update none hour date way mac couldn couldn result py dlli step step answer answer understanding py tool python module version,4,34,process python script window script user life exe python dll file plenty entry script file bit option update none hour date way mac couldn couldn result py dlli step step answer answer understanding py tool python module version
3430,How to call JavaScript function instead of href in HTML,"<p>I have some mockup in HTML</p>

<pre><code>&lt;a href=""javascript:ShowOld(2367,146986,2)""&gt;&lt;img title=""next page"" alt=""next page"" src=""/themes/me/img/arrn.png""&gt;&lt;/a&gt;
</code></pre>

<p>I got the response from server when I sent the request.</p>

<p>With this mockup I got as a response of AJAX request that sends my code to server.</p>

<p>Well, everything is fine but when I click on the link the browser wants to open the function as link; meaning after click I see the address bar as </p>

<pre><code>javascript:ShowOld(2367,146986,2)
</code></pre>

<p>means browser thing that's url if I want to do this in firebug that's work. Now I want to do that then when anyone clicks the link then the browser tries to call the function already loaded in the DOM instead of trying to open them in browser.</p>
",5003867,3,2,"['javascript', 'html']",javascript function href html,mockup response server request mockup response request code link browser function link meaning click address bar browser thing url firebug work link browser function dom browser,4,26,javascript function href html mockup response server request mockup response request code link browser function link meaning click address bar browser thing url firebug work link browser function dom browser
5000,How to roll the log file on startup in logback,"<p>I would like to configure logback to do the following.</p>

<ul>
<li>Log to a file</li>
<li>Roll the file when it reaches 50MB</li>
<li>Only keep 7 days worth of logs</li>
<li>On startup always generate a new file (do a roll)</li>
</ul>

<p>I have it all working except for the last item, startup roll.  Does anyone know how to achieve that?  Here's the config...</p>

<pre class=""lang-xml prettyprint-override""><code>  &lt;appender name=""File"" class=""ch.qos.logback.core.rolling.RollingFileAppender""&gt;

    &lt;layout class=""ch.qos.logback.classic.PatternLayout""&gt;
      &lt;Pattern&gt;%d{HH:mm:ss.SSS} [%thread] %-5level %logger{36} - %msg \(%file:%line\)%n&lt;/Pattern&gt;
    &lt;/layout&gt;

    &lt;File&gt;server.log&lt;/File&gt;

    &lt;rollingPolicy class=""ch.qos.logback.core.rolling.TimeBasedRollingPolicy""&gt;
      &lt;FileNamePattern&gt;server.%d{yyyy-MM-dd}.log&lt;/FileNamePattern&gt;
      &lt;!-- keep 7 days' worth of history --&gt;
      &lt;MaxHistory&gt;7&lt;/MaxHistory&gt;

      &lt;TimeBasedFileNamingAndTriggeringPolicy class=""ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP""&gt;
        &lt;MaxFileSize&gt;50MB&lt;/MaxFileSize&gt;
      &lt;/TimeBasedFileNamingAndTriggeringPolicy&gt;

    &lt;/rollingPolicy&gt;
  &lt;/appender&gt;
</code></pre>
",2492022,4,1,['java'],log file logback,logback log file day logson file item startup roll config,3,10,log file logback logback log file day logson file item startup roll config
202,Bootstrap carousel width and height,"<p>Im trying to do a bootstrap carousel with full width for the images (width: 100%) and a fixed height but if I set the width to 100% the height automacally is taking the 100% too</p>

<p>I don't sure if the problem is in my files</p>

<pre><code> &lt;div id=""myCarousel"" class=""carousel slide""&gt;
&lt;ol class=""carousel-indicators""&gt;
  &lt;li data-target=""#myCarousel"" data-slide-to=""0"" class=""active""&gt;&lt;/li&gt;
  &lt;li data-target=""#myCarousel"" data-slide-to=""1""&gt;&lt;/li&gt;
  &lt;li data-target=""#myCarousel"" data-slide-to=""2""&gt;&lt;/li&gt;
&lt;/ol&gt;
&lt;!-- Carousel items --&gt;
&lt;div class=""carousel-inner""&gt;
  &lt;div class=""active item""&gt;
    &lt;%= image_tag ""slider/slide-bg-1.jpg"", class: ""tales"" %&gt;
  &lt;/div&gt;
  &lt;div class=""item""&gt;
    &lt;%= image_tag ""slider/slide-bg-2.jpg"", class: ""tales"" %&gt;
  &lt;/div&gt;
  &lt;div class=""item""&gt; 
    &lt;%= image_tag ""slider/slide-bg-3.jpg"", class: ""tales"" %&gt;
  &lt;/div&gt;
&lt;/div&gt;
&lt;!-- Carousel nav --&gt;
&lt;a class=""carousel-control left"" href=""#myCarousel"" data-slide=""prev""&gt;&amp;lsaquo;&lt;/a&gt;
&lt;a class=""carousel-control right"" href=""#myCarousel"" data-slide=""next""&gt;&amp;rsaquo;&lt;/a&gt;
</code></pre>

<p></p>

<p>and my css file</p>

<pre><code>.tales {
  width: 100%;
  height: 200px;
}
</code></pre>
",19481334,5,4,"['javascript', 'jquery', 'html', 'css']",bootstrap carousel height,bootstrap carousel width image height width height don problem filesand css file,3,12,bootstrap carousel height bootstrap carousel width image height width height don problem filesand css file
30446,"Is it possible to query a tree structure table in MySQL in a single query, to any depth?","<p>I'm thinking the answer is no, but I'd love it it anybody had any insight into how to crawl a tree structure to any depth in SQL (MySQL), but with a single query</p>

<p>More specifically, given a tree structured table (id, data, data, parent_id), and one row in the table, is it possible to get <em>all</em> descendants (child/grandchild/etc), or for that matter all ancestors (parent/grandparent/etc) without knowing how far down or up it will go, using a single query?</p>

<p>Or is using some kind of recursion require, where I keep querying deeper until there are no new results?</p>

<p>Specifically, I'm using Ruby and Rails, but I'm guessing that's not very relevant.</p>
",169817,5,2,"['mysql', 'sql']",query tree structure table mysql query depth,answer insight tree structure depth mysql querymore tree table i d datum datum parent_id row table descendant child grandchild matter ancestor parent grandparent query kind recursion result ruby rail,7,29,query tree structure table mysql query depth answer insight tree structure depth mysql querymore tree table i d datum datum parent_id row table descendant child grandchild matter ancestor parent grandparent query kind recursion result ruby rail
19731,Ignore folders/files when Directory.GetFiles() is denied access,"<p>I am trying to display a list of all files found in the selected directory (and optionally any subdirectories). The problem I am having is that when the GetFiles() method comes across a folder that it cannot access, it throws an exception and the process stops.</p>

<p>How do I ignore this exception (and ignore the protected folder/file) and continue adding accessible files to the list?</p>

<pre><code>try
{
    if (cbSubFolders.Checked == false)
    {
        string[] files = Directory.GetFiles(folderBrowserDialog1.SelectedPath);
        foreach (string fileName in files)
            ProcessFile(fileName);
    }
    else
    {
        string[] files = Directory.GetFiles(folderBrowserDialog1.SelectedPath, ""*.*"", SearchOption.AllDirectories);
        foreach (string fileName in files)
            ProcessFile(fileName);
    }
    lblNumberOfFilesDisplay.Enabled = true;
}
catch (UnauthorizedAccessException) { }
finally {}
</code></pre>
",172544,2,1,['c#'],folder directory getfile access,list file directory subdirectory problem getfile method folder exception process exception folder file file list,4,15,folder directory getfile access list file directory subdirectory problem getfile method folder exception process exception folder file file list
31563,C : typedef struct name {...}; VS typedef struct{...} name;,"<p>As the title says, I have this code:</p>
<pre class=""lang-c prettyprint-override""><code>    typedef struct Book{
        int id;
        char title[256];
        char summary[2048];
        int numberOfAuthors;
        struct Author *authors;
    };


    typedef struct Author{
        char firstName[56];
        char lastName[56];
    };


    typedef struct Books{
        struct Book *arr;
        int numberOfBooks;
    };
</code></pre>
<p>I get these errors from gcc :</p>
<pre><code>bookstore.c:8:2: error: unknown type name ‘Author’
bookstore.c:9:1: warning: useless storage class specifier in empty declaration [enabled by default]
bookstore.c:15:1: warning: useless storage class specifier in empty declaration [enabled by default]
bookstore.c:21:2: error: unknown type name ‘Book’
bookstore.c:23:1: warning: useless storage class specifier in empty declaration [enabled by default]
</code></pre>
<p>No warnings and no errors occur if I change the typedefs like this:</p>
<pre class=""lang-c prettyprint-override""><code>    typedef struct{
        char firstName[56];
        char lastName[56];
    } Author;
</code></pre>
<p>Having searched through <em><a href=""https://rads.stackoverflow.com/amzn/click/com/0131103628"" rel=""noreferrer"" rel=""nofollow noreferrer"">C Programming Language, 2nd Edition</a></em> and googled for a couple of hours, I can't figure out why the first implementation won't work.</p>
",17720223,3,1,['c'],typedef struct name typedef struct name,title code error gcc warning error typedef couple hour implementation work,6,11,typedef struct name typedef struct name title code error gcc warning error typedef couple hour implementation work
10733,String function to strip the last comma,"<p>Input</p>

<pre><code>str = 'test1,test2,test3,'
</code></pre>

<p>Ouput </p>

<pre><code>str = 'test1,test2,test3'
</code></pre>

<p>Requirement to strip the last occurence of ','</p>
",12625636,1,1,['python'],string function strip comma,inputouput requirement occurence,4,3,string function strip comma inputouput requirement occurence
33070,Error Code 1292 - Truncated incorrect DOUBLE value - Mysql,"<p>I am not sure what is this error!</p>

<pre><code>#1292 - Truncated incorrect DOUBLE value: 
</code></pre>

<p>I don't have double value field or data!</p>

<p>I have wasted a whole hour trying to figure this out!</p>

<p>here is my query</p>

<pre><code>INSERT INTO call_managment_system.contact_numbers 
    (account_id, contact_number, contact_extension, main_number, created_by)
SELECT
    ac.account_id,
    REPLACE(REPLACE(REPLACE(REPLACE(ta.phone_number, '-', ''), ' ', ''), ')', ''),'(','') AS Phone,
    IFNULL(ta.ext, '') AS extention,
    '1' AS MainNumber,
    '2' AS created_by
FROM 
    cvsnumbers AS ta
    INNER JOIN accounts AS ac ON ac.company_code = ta.company_code
WHERE 
    LENGTH(REPLACE(REPLACE(REPLACE(REPLACE(ta.phone_number, '-', ''), ' ', ''), ')', ''),'(','') ) = 10
</code></pre>

<p>here is my show create table for the table which the results are going into</p>

<pre><code>CREATE TABLE `contact_numbers` (  
    `number_id` int(10) unsigned NOT NULL AUTO_INCREMENT,  
    `account_id` int(10) unsigned NOT NULL DEFAULT '0',  
    `person_id` int(11) NOT NULL DEFAULT '0',  
    `contact_number` char(15) NOT NULL,  
    `contact_extension` char(10) NOT NULL DEFAULT '',  
    `contact_type` enum('Primary','Direct','Cell','Fax','Home','Reception','Office','TollFree') NOT NULL DEFAULT 'Primary',  
    `contact_link` enum('Account','PDM','Other') NOT NULL DEFAULT 'Account',  
    `status` tinyint(1) NOT NULL DEFAULT '1' COMMENT '0 = inactive, 1=active', 
    `main_number` tinyint(1) NOT NULL DEFAULT '0' COMMENT '1 = main phone number',  
    `created_on` datetime NOT NULL DEFAULT CURRENT_TIMESTAMP,  
    `created_by` int(11) NOT NULL,  
    `modified_on` datetime DEFAULT NULL,  
    `modified_by` int(11) NOT NULL DEFAULT '0',  
    PRIMARY KEY (`number_id`),  
    KEY `account_id` (`account_id`),  
    KEY `person_id` (`person_id`)
) ENGINE=InnoDB AUTO_INCREMENT=534 DEFAULT CHARSET=utf8
</code></pre>
",16068993,3,1,['mysql'],error code value mysql,error don value field datum hour queryhere show table table result,4,11,error code value mysql error don value field datum hour queryhere show table table result
11337,Modifying list while iterating,"<pre><code>l  = range(100)                         
for i in l:                         
    print i,                         
    print l.pop(0),                  
    print l.pop(0)
</code></pre>

<p>The above python code gives the output quite different from expected. I want to loop over items so that I can skip an item while looping.</p>

<p>Please explain.</p>
",1637807,4,1,['python'],list,python code output item item,1,5,list python code output item item
17505,Clear Application's Data Programmatically,"<p>I want to clear my application's data programmatically. </p>

<p>Application's data may contain anything like databases, shared preferences, Internal-External files or any other files created within the application.</p>

<p>I know we can clear data in the mobile device through:</p>

<blockquote>
  <p>Settings->Applications-> ManageApplications-> My_application->Clear
  Data</p>
</blockquote>

<p>But I need to do the above thing through an Android Program?</p>
",6134103,1,1,['android'],application datum,application datum application datum database preference file file application datum device setting application my_application databut thing program,2,17,application datum application datum application datum database preference file file application datum device setting application my_application databut thing program
3130,UglifyJS throws unexpected token: keyword (const) with node_modules,"<p>A small project I started make use a node module (installed via <strong>npm</strong>) that declares <code>const</code> variables. Running and testing this project is well, but browserify fails when UglifyJS is executed.</p>

<blockquote>
  <p>Unexpected token: keyword (const)</p>
</blockquote>

<p>Here is a generic Gulp file that I have successfully been using for a few other past projects without this issue (i.e. without that particular node module).</p>

<h3>gulpfile.js</h3>

<pre class=""lang-js prettyprint-override""><code>'use strict';

const browserify = require('browserify');
const gulp = require('gulp');
const source = require('vinyl-source-stream');
const derequire = require('gulp-derequire');
const buffer = require('vinyl-buffer');
const uglify = require('gulp-uglify');
const sourcemaps = require('gulp-sourcemaps');
const gutil = require('gulp-util');
const path = require('path');
const pkg = require('./package');
const upperCamelCase = require('uppercamelcase');

const SRC_PATH = path.dirname(pkg.main);
const DIST_PATH = path.dirname(pkg.browser);

const INPUT_FILE = path.basename(pkg.main);
const OUTPUT_FILE = path.basename(pkg.browser);

const MODULE_NAME = upperCamelCase(pkg.name);


gulp.task('default', () =&gt; {
  // set up the browserify instance on a task basis
  var b = browserify({
    entries: INPUT_FILE,
    basedir: SRC_PATH,
    transform: ['babelify'],
    standalone: MODULE_NAME,
    debug: true
  });

  return b.bundle()
    .pipe(source(OUTPUT_FILE))
    .pipe(buffer())
    .pipe(derequire())
    .pipe(sourcemaps.init({loadMaps: true}))
    .pipe(uglify())
    .on('error', gutil.log)
    .pipe(sourcemaps.write('.'))
    .pipe(gulp.dest(DIST_PATH))
  ;
});
</code></pre>

<p>I have tried fixing this by replace all <code>const</code> to <code>var</code> in that npm-installed module, and everything is fine. So I do not understand the failure.</p>

<p>What's wrong with <code>const</code>? Unless someone uses IE10, <em>all</em> major browsers support this syntax.</p>

<p>Is there a way to fix this without requiring a change to that node module?</p>

<h2>Update</h2>

<p>I have temporarily (or permanently) replaced UglifyJS with <a href=""https://github.com/Rich-Harris/butternut"" rel=""noreferrer"">Butternut</a> and seem to work.</p>
",47439067,5,1,['javascript'],uglifyjs keyword const node_module,project module npm variable project keyword const file project issue module gulpfile jsi replace npm module failure browser syntax way change node module updatei uglifyjs,4,25,uglifyjs keyword const node_module project module npm variable project keyword const file project issue module gulpfile jsi replace npm module failure browser syntax way change node module updatei uglifyjs
13528,Python Nose Import Error,"<p>I can't seem to get the <a href=""https://nose.readthedocs.org/en/latest/"" rel=""noreferrer"">nose testing framework</a> to recognize modules beneath my test script in the file structure.  I've set up the simplest example that demonstrates the problem. I'll explain it below.</p>

<p>Here's the the package file structure:</p>

<pre><code>./__init__.py
./foo.py
./tests
   ./__init__.py
   ./test_foo.py
</code></pre>

<p>foo.py contains:</p>

<pre><code>def dumb_true():
    return True
</code></pre>

<p>tests/test_foo.py contains:</p>

<pre><code>import foo

def test_foo():
    assert foo.dumb_true()
</code></pre>

<p>Both <strong>init</strong>.py files are empty</p>

<p>If I run <code>nosetests -vv</code> in the main directory (where foo.py is), I get:</p>

<pre><code>Failure: ImportError (No module named foo) ... ERROR

======================================================================
ERROR: Failure: ImportError (No module named foo)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""/usr/lib/python/site-packages/nose-0.11.1-py2.6.egg/nose/loader.py"", line 379, in loadTestsFromName
    addr.filename, addr.module)
  File ""/usr/lib/python/site-packages/nose-0.11.1-py2.6.egg/nose/importer.py"", line 39, in importFromPath
    return self.importFromDir(dir_path, fqname)
  File ""/usr/lib/python/site-packages/nose-0.11.1-py2.6.egg/nose/importer.py"", line 86, in importFromDir
    mod = load_module(part_fqname, fh, filename, desc)
  File ""/home/user/nose_testing/tests/test_foo.py"", line 1, in &lt;module&gt;
    import foo
ImportError: No module named foo

----------------------------------------------------------------------
Ran 1 test in 0.002s

FAILED (errors=1)
</code></pre>

<p>I get the same error when I run from inside the tests/ directory.  According to the documentation and <a href=""http://schettino72.wordpress.com/2008/01/19/11/"" rel=""noreferrer"">an example</a> I found, nose is supposed to add all parent packages to the path as well as the directory from which it is called, but this doesn't seem to be happening in my case.  </p>

<p>I'm running Ubuntu 8.04 with Python 2.6.2.  I've built and installed nose manually (not with setup_tools) if that matters. </p>
",3073259,3,1,['python'],python nose import error,module test script file structure example problem package file structure foo py test test_foo py init py file emptyif directory foo py error test directory documentation nose parent package path directory doesn case ubuntu python nose setup_tool,4,37,python nose import error module test script file structure example problem package file structure foo py test test_foo py init py file emptyif directory foo py error test directory documentation nose parent package path directory doesn case ubuntu python nose setup_tool
23466,Xcode 8 recompiling complete code every time,"<p>With any change in code (though file is not in .pch), complete project recompiles every time.</p>
",39588223,2,2,"['ios', 'xcode']",xcode code time,change code file project recompile time,3,6,xcode code time change code file project recompile time
11907,How do I plot Shapely polygons and objects using Matplotlib?,"<p>I want to use Shapely for my computational geometry project. I need to be able to visualize and display polygons, lines, and other geometric objects for this. I've tried to use Matplotlib for this but I am having trouble with it.</p>

<pre class=""lang-py prettyprint-override""><code>from shapely.geometry import Polygon
import matplotlib.pyplot as plt

polygon1 = Polygon([(0,5),
                    (1,1),
                    (3,0),
                    ])

plt.plot(polygon1)
plt.show()
</code></pre>

<p>I would like to be able to display this polygon in a plot. How would I change my code to do this?</p>
",55522395,3,1,['python'],plot polygon object matplotlib,geometry project polygon line object matplotlib trouble polygon plot code,4,10,plot polygon object matplotlib geometry project polygon line object matplotlib trouble polygon plot code
24091,Why anchor tag does not take height and width of its containing element,"<p>Here is my <a href=""http://jsfiddle.net/ttftC/"" rel=""noreferrer"">JsFiddle</a></p>

<p>When I inspect the size of the anchor tags with Chrome developer tools it shows me <code>144px*18px</code> for the 1st element and <code>310px*18px</code> for the 2nd element.</p>

<p>I want to know why it does not take the height and width of the containing element and how it is being calculated.</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>.gallery {
    background-color: #abcdef;
}
.gallery img {
    display: inline-block;
    margin-left: 20px;
    margin-top: 20px;
}
.normal {
    height: 160px;
    width: 110px;
    border: 5px solid black;
}
.wide {
    height: 160px;
    width: 280px;
    border: 5px solid black;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div class=""gallery""&gt;
    &lt;a href=""#""&gt; &lt;img class=""normal"" src=""""&gt; &lt;/a&gt;
    &lt;a href=""#""&gt; &lt;img class=""wide"" src=""""&gt; &lt;/a&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>
",18585069,2,2,"['html', 'css']",anchor tag height width element,size anchor tag chrome developer tool st element nd element height width element,5,13,anchor tag height width element size anchor tag chrome developer tool st element nd element height width element
31958,How to break out of nested loops?,"<p>If I use a <code>break</code> statement, it will only break inner loop and I need to use some flag to break the outer loop. But if there are many nested loops, the code will not look good.</p>
<p>Is there any other way to break all of the loops? (Please don't use <code>goto stmt</code>.)</p>
<pre><code>for (int i = 0; i &lt; 1000; i++) {
   for (int j = 0; j &lt; 1000; j++) {
       if (condition) {
            // both of the loops need to break and control will go to stmt2
       }
   }    
}

stmt2
</code></pre>
",9695902,3,1,['c'],loop,use statement loop flag loop loop code way loop use,1,10,loop use statement loop flag loop loop code way loop use
